Part No.,Density,Mono-Density,PKG Size,PKG Type,Spec
H26M31001HPR,4GB,32Gb,11.5x13x0.8,FBGA(153ball),eMMC4.5
H26M41204HPR,8GB,64Gb,11.5x13x0.8,FBGA(153ball),eMMC5.1
H26M41208HPR,8GB,64Gb,11.5x13x0.8,FBGA(153ball),eMMC5.1
H26M51002KPR,16GB,128Gb,11.5x13x0.8,FBGA(153ball),eMMC5.1
H26M62002JPR,32GB,128Gb,11.5x13x0.8,FBGA(153ball),eMMC5.1
H26M74002HMR,64GB,128Gb,11.5x13x1.0,FBGA(153ball),eMMC5.1
H26T87001CMR,128GB,256Gb,11.5x13x1.0,FBGA(153ball),eMMC5.1
