Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
A6-7470K with Radeon™ R5 Series,AMD A-Series Processors,AMD A6-Series APU for Desktops,Boxed Processor,AD747KYBI23JC,AD747KYBJCBOX,,,2,,4,6 (2 CPU + 4 GPU),3.7GHz,Up to 4.0GHz,256KB,1MB,,Yes,28nm,FM2+,,,,65W,45W/65WW,71.30°C,,2133MHz,DDR3,2,800 MHz,AMD Radeon™ R5 Graphics,256,"Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
A6-7400K with Radeon™ R5 Series,AMD A-Series Processors,AMD A6-Series APU for Desktops,Boxed Processor,AD740KYBI23JA,AD740KYBJABOX,,,2,2,4,6 (2 CPU + 4 GPU),3.5GHz,Up to 3.9GHz,128KB,1MB,,Yes,28nm,FM2+,,,,65W,45W/65WW,70°C,,1866MHz,DDR3,2,758 MHz,AMD Radeon™ R5 Graphics,256,"Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
A6-6420K with Radeon™ HD 8470D,AMD A-Series Processors,AMD A6-Series APU for Desktops,Boxed Processor,AD642KOKA23HL,AD642KOKHLBOX,,,2,2,,,4.0GHz,Up to 4.2GHz,96KB,1MB,,Yes,32nm SOI,FM2,,,,65W,,70°C,,1866MHz,DDR3,2,800 MHz,AMD Radeon™ HD 8470D,192,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
A6-6310 with Radeon™ R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,AM6310ITJ44JBD,-,,,4,4,,,1.8GHz,Up to 2.4GHz,128KB,2MB,,No,28nm,FT3b,,,,15/25W,,90°C,,1866MHz,DDR3,1,800 MHz,AMD Radeon™ R4 Series,128,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
A6-6400K with Radeon™ HD 8470D,AMD A-Series Processors,AMD A6-Series APU for Desktops,Boxed Processor,AD640KOKA23HL,AD640KOKHLBOX,,,2,2,,,3.9GHz,Up to 4.1GHz,96KB,1MB,,Yes,32nm SOI,FM2,,,,65W,,70°C,,1866MHz,DDR3,2,800 MHz,AMD Radeon™ HD 8470D,192,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
A6-5200 with Radeon™ HD 8400,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,AM5200IAJ44HMD,-,,,4,4,,,2.0GHz,,256KB,2MB,,No,28nm,FT3,,,,25W,,90°C,,1600MHz,DDR3,1,600 MHz,AMD Radeon™ HD 8400,128,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
A4-7300 with Radeon™ HD 8470D,AMD A-Series Processors,AMD A4-Series APU for Desktops,Desktop,AD7300OKA23HL,n/a,,,2,2,,,3.8GHz,Up to 4.0GHz,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,,1600MHz,DDR3,2,800 MHz,AMD Radeon™ HD 8470D,192,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
A4-6320 with Radeon™ HD 8370D,AMD A-Series Processors,AMD A4-Series APU for Desktops,Boxed Processor,AD6320OKA23HL,AD6320OKHLBOX,,,2,2,,,3.8GHz,Up to 4.0GHz,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,,1600MHz,DDR3,2,760 MHz,AMD Radeon™ HD 8370D,128,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
A4-6300 with Radeon™ HD 8370D,AMD A-Series Processors,AMD A4-Series APU for Desktops,Boxed Processor,AD6300OKA23HL,AD6300OKHLBOX,,,2,2,,,3.7GHz,Up to 3.9GHz,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,,1600MHz,DDR3,2,760 MHz,AMD Radeon™ HD 8370D,128,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
A4-5100 with Radeon™ HD 8330,AMD A-Series Processors,AMD A4-Series APU for Desktops,Desktop,AM5100IBJ44HMD,n/a,,,4,4,,,1.55GHz,,256KB,2MB,,No,28nm,FT3,,,,15W,,90°C,,1600MHz,DDR3,1,500 MHz,AMD Radeon™ HD 8330,128,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
A4-5000 with Radeon™ HD 8330,AMD A-Series Processors,AMD A4-Series APU for Desktops,Desktop,AM5000IBJ44HMD,n/a,,,4,4,,,1.5GHz,,256KB,2MB,,No,28nm,FT3,,,,15W,,90°C,,1600MHz,DDR3,1,500 MHz,AMD Radeon™ HD 8330,128,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
FX-9590,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD9590FHW8KHK,FD9590FHHKWOF,,,8,8,,,4.7GHz,Up to 5.0GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,,,220W,,57°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-9370,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD9370FHW8KHK,FD9370FHHKWOF,,,8,8,,,4.4GHz,Up to 4.7GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,,,220W,,57°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-8370 with Wraith cooler,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,n/a,FD8370FRHKHBX,,,8,8,,,4.0GHz,Up to 4.3GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,Wraith cooler,,125W,,61.10°C,,1866MHz,DDR3,2,,Discrete Graphics Card Required,,"AES, AVX, FMA4",,
FX-8370E,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD837EWMW8KHK,FD837EWMHKBOX,,,8,8,,,3.3GHz,Up to 4.3GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,,,95W,,70.50°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-8370,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD8370FRW8KHK,FD8370FRHKBOX,,,8,8,,,4.0GHz,Up to 4.3GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,,,125W,,61.10°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-8350 with Wraith cooler,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,n/a,FD8350FRHKHBX,,,8,8,,,4.0GHz,Up to 4.2GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,Wraith cooler,,125W,,61°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-8350,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD8350FRW8KHK,FD8350FRHKBOX,,,8,8,,,4.0GHz,Up to 4.2GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,,,125W,,61°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-8320E,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD832EWMW8KHK,FD832EWMHKBOX,,,8,8,,,3.2GHz,Up to 4.0GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,,,95W,,70.50°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-8320,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD8320FRW8KHK,FD8320FRHKBOX,,,8,8,,,3.5GHz,Up to 4.0GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,,,125W,,61.10°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-8310,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD8310WMW8KHK,FD8310WMHKSBX,,,8,8,,,3.4GHz,Up to 4.3GHz,,8MB,,Yes,32nm,AM3+,n/a,,,95W,,70.50°C,,,Not Listed,,,Discrete Graphics Card Required,,AES,,
FX-8300,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD8300WMW8KHK,FD8300WMHKBOX,,,8,8,,,3.3GHz,Up to 4.2GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,n/a,,,95W,,70.50°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-8150,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD8150FRW8KGU,FD8150FRGUBOX,,,8,8,,,3.6GHz,Up to 4.2GHz,384KB,8MB,8MB,Yes,32nm,AM3+,n/a,,,125W,,61°C,,,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-8120,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Boxed Processor,FD8120FRW8KGU,FD8120FRGUBOX,,,8,8,,,3.1GHz,Up to 4.0GHz,384KB,8MB,8MB,Yes,32nm,AM3+,n/a,,,125W,,61°C,,,Not Listed,,,Discrete Graphics Card Required,,AES,,
FX-6350 with Wraith cooler,AMD FX-Series Processors,AMD FX 6-Core Black Edition Processors,Boxed Processor,n/a,FD6350FRHKHBX,,,6,6,,,3.9GHz,Up to 4.2GHz,288KB,6MB,8MB,Yes,32nm SOI,AM3+,n/a,Wraith cooler,,125W,,61°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-6350,AMD FX-Series Processors,AMD FX 6-Core Black Edition Processors,Boxed Processor,FD6350FRW6KHK,FD6350FRHKBOX,,,6,6,,,3.9GHz,Up to 4.2GHz,288KB,6MB,8MB,Yes,32nm SOI,AM3+,n/a,,,125W,,61°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-6300,AMD FX-Series Processors,AMD FX 6-Core Black Edition Processors,Boxed Processor,FD6300WMW6KHK,FD6300WMHKBOX,,,6,6,,,3.5GHz,Up to 3.8GHz,288KB,6MB,8MB,No,32nm SOI,AM3+,PCIe 3.0,,,95W,,70.50°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,"AES, AVX, FMA4",,
FX-6200,AMD FX-Series Processors,AMD FX 6-Core Black Edition Processors,Boxed Processor,FD6200FRW6KGU,FD6200FRGUBOX,,,6,6,,,3.8GHz,Up to 4.1GHz,288KB,6MB,8MB,Yes,32nm SOI,AM3+,n/a,,,125W,,61.10°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX 6100,AMD FX-Series Processors,AMD FX 6-Core Black Edition Processors,Boxed Processor,FD6100WMW6KGU,FD6100WMGUSBX,,,6,6,,,3.3GHz,Up to 3.9GHz,288KB,6MB,8MB,Yes,32nm SOI,AM3+,n/a,,,95W,,70°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-4350,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Boxed Processor,FD4350FRW4KHK,FD4350FRHKBOX,,,4,4,,,4.2GHz,Up to 4.3GHz,192KB,4MB,8MB,Yes,32nm SOI,AM3+,n/a,,,125W,,61.10°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-4320,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Boxed Processor,FD4320WMW4MHK,FD4320WMHKBOX,,,4,4,,,4.0GHz,Up to 4.1GHz,192KB,4MB,4MB,No,32nm SOI,AM3+,Not Listed,,,95W,,70.50°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,"AES, AVX, FMA4",,
FX-4300,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Boxed Processor,FD4300WMW4MHK,FD4300WMHKBOX,,,4,4,,,3.8GHz,Up to 4.0GHz,192KB,4MB,4MB,Yes,32nm SOI,AM3+,n/a,,,95W,,70.50°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-4170,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Boxed Processor,FD4170FRW4KGU,FD4170FRGUSBOX,,,4,4,,,4.2GHz,Up to 4.3GHz,192KB,4MB,8MB,No,32nm,AM3+,n/a,,,125W,,61.10°C,,,Not Listed,,,Discrete Graphics Card Required,,AES,,
FX-4130,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Boxed Processor,FD4130FRW4MGU,FD4130FRGUBOX,,,4,4,,,3.8GHz,Up to 3.9GHz,192KB,4MB,4MB,Yes,32nm SOI,AM3,n/a,,,125W,,70°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
FX-4100,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Boxed Processor,FD4100WMW4KGU,FD4100WMGUSBX,,,4,4,,,3.6GHz,Up to 3.8GHz,192KB,4MB,8MB,Yes,32nm SOI,AM3+,n/a,,,95W,,70.50°C,,1866MHz,DDR3,,,Discrete Graphics Card Required,,AES,,
Athlon™ 240GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Desktop,YD240GC6M2OFB,,YD240GC6FBMPK,,2,4,3,5 (2 CPU + 3 GPU),3.5GHz,,192KB,1MB,4MB,No,14nm,AM4,PCIe® 3.0,,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,,2,1000 MHz,Radeon™ Vega 3 Graphics,3,,Yes,Yes
Athlon™ 220GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD220GC6M2OFB,,YD220GC6FBMPK,,2,4,3,5 (2 CPU + 3 GPU),3.4GHz,,192KB,1MB,4MB,No,14nm,AM4,PCIe® 3.0,,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,,2,1000 MHz,Radeon™ Vega 3 Graphics,3,,Yes,Yes
Athlon™ 200GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD200GC6M2OFB / YD20GGC6M2OFB,YD200GC6FBBOX,YD200GC6FBMPK,,2,4,3,5 (2 CPU + 3 GPU),3.2GHz,,192KB,1MB,4MB,No,14nm,AM4,PCIe® 3.0,,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,,2,1000 MHz,Radeon™ Vega 3 Graphics,3,,Yes,Yes
