Part Number,Density,Part Status,Package,Voltage,MMC Interface,Op. Temp.,Pin Count,Package Size,Applications,Width,Special Options
MTFC4GMWDM-3M AIT A,4GB,Contact Factory,TFBGA,2.7V-3.6V,4.51,-40C to +85C,153-ball,11.5 x 13 x 1.2,(Empty),x8,(Empty)
MTFC64GAJAEDQ-AAT,64GB,Production,LBGA,System.Object[],(Empty),-40C to +105C,100-ball,(Empty),Automotive,x8,(Empty)
MTFC64GAJAEDQ-AIT,64GB,Production,LFBGA,3.3V,5,-40C to +85C,100-ball,(Empty),Automotive,x8,(Empty)
MTFC64GAKAEYF-4M IT,64GB,Production,LFBGA,3.3V,5,-40C to +85C,153-ball,11.5 x 13 x 1.4,Embedded,x8,(Empty)
MTFC64GAPALBH-AAT,64GB,Production,TFBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,13x11.5x1.1,Automotive,x8,(Empty)
MTFC64GAPALBH-AIT,64GB,Production,TFBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,13x11.5x1.1,Automotive,x8,(Empty)
MTFC64GAPALBH-IT,64GB,Production,TFBGA,3.3V,5.1,-40C to +85C,153-ball,11.5 x 13 x 1.1,(Empty),x8,(Empty)
MTFC64GAPALGT-AAT,64GB,Production,WFBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,13x11.5x0.8,Automotive,x8,(Empty)
MTFC64GAPALGT-AIT,64GB,Production,WFBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,13x11.5x0.8,Automotive,x8,(Empty)
MTFC64GAPALHT-AAT,64GB,Sampling,VBGA,2.7V-3.6V,5.1,-40C to +105C,100-ball,18x14x1,Automotive,x8,(Empty)
MTFC64GAPALHT-AIT,64GB,Sampling,VBGA,2.7V-3.6V,5.1,-40C to +85C,100-ball,18x14x1,Automotive,x8,(Empty)
MTFC64GAPALNA-AAT,64GB,Production,TBGA,2.7V-3.6V,5.1,-40C to +105C,100-ball,18x14x1.2,Automotive,x8,(Empty)
MTFC64GAPALNA-AIT,64GB,Production,TBGA,2.7V-3.6V,5.1,-40C to +85C,100-ball,18x14x1.2,Automotive,x8,(Empty)
MTFC8GACAANA-4M IT,8GB,End of Life,TBGA,2.7V-3.6V,4.5,-40C to +85C,100-ball,14 x 18 x 1.2,Embedded,x8,(Empty)
MTFC8GACAEDQ-AAT,8GB,Production,LBGA,System.Object[],5,-40C to +105C,100-ball,14 x 18 x 1.4,Automotive,x8,(Empty)
MTFC8GACAEDQ-K1,8GB,Production,LFBGA,2.7V-3.6V,5,-40C to +85C,100-ball,14 x 18 x 1.4,Automotive,x8,(Empty)
MTFC8GACAENS-AAT,8GB,Production,TFBGA,System.Object[],5,-40C to +105C,153-ball,11.5 x 13 x 1.2,Automotive,x8,(Empty)
MTFC8GACAENS-K1 AIT,8GB,Production,TFBGA,2.7V-3.6V,5,(Empty),153-ball,11.5 x 13 x 1.2,(Empty),x8,(Empty)
MTFC8GAKAJCN-1M WT,8GB,Production,VFBGA,3.3V,5,-25C to +85C,153-ball,11.5 x 13 x 1.0,Embedded,x8,(Empty)
MTFC8GAKAJCN-4M IT,8GB,Production,VFBGA,3.3V,5,-40C to +85C,153-ball,11.5 x 13 x 1.0,Embedded,x8,(Empty)
MTFC8GAMALBH-AAT,8GB,Production,TFBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,13x11.5x1.1,Automotive,x8,(Empty)
MTFC8GAMALBH-AIT,8GB,Production,TFBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,13x11.5x1.1,Automotive,x8,(Empty)
MTFC8GAMALGT-AAT,8GB,Production,WFBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,13x11.5x0.8,Automotive,x8,(Empty)
MTFC8GAMALGT-AIT,8GB,Production,WFBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,13x11.5x0.8,Automotive,x8,(Empty)
MTFC8GAMALHT-AAT,8GB,Sampling,VBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,18x14x1,Automotive,x8,(Empty)
MTFC8GAMALHT-AIT,8GB,Sampling,VBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,18x14x1,Automotive,x8,(Empty)
MTFC8GAMALNA-AAT,8GB,Production,TBGA,2.7V-3.6V,5.1,-40C to +105C,100-ball,18x14x1.2,Automotive,x8,(Empty)
MTFC8GAMALNA-AIT,8GB,Production,TBGA,2.7V-3.6V,5.1,-40C to +85C,100-ball,18x14x1.2,Automotive,x8,(Empty)
